idInventory,nameItem,quantityItem,priceItem,categoryItem,restockTime,status
0,Fried Rice,271,5.73,Side,2024-11-27 23:35:53.151080,ACTIVE
1,White Steamed Rice,138,5.15,Side,2024-11-04 04:36:41.344554,ACTIVE
2,Chow Mein,205,5.57,Side,2024-11-23 23:00:55.036907,ACTIVE
3,Super Greens,270,4.17,Side,2024-11-03 12:07:58.050891,ACTIVE
4,Orange Chicken,161,4.74,Entree,2024-11-09 09:31:18.419402,ACTIVE
5,Beijing Beef,168,4.49,Entree,2024-11-16 01:03:43.995986,ACTIVE
6,Honey Walnut Shrimp,91,3.95,Entree,2024-11-03 16:27:30.765633,ACTIVE
7,Kung Pow Chicken,88,5.75,Entree,2024-11-04 23:03:06.631716,ACTIVE
8,Broccoli Beef,240,3.97,Entree,2024-11-05 14:58:48.073094,ACTIVE
9,Black Pepper Sirloin steak,200,5.97,Entree,2024-11-22 03:25:12.674023,ACTIVE
10,Mushroom Chicken,159,4.94,Entree,2024-11-30 06:39:40.237213,ACTIVE
11,Sweet Fire Chicken Breast,105,3.29,Entree,2024-11-22 01:41:53.087911,ACTIVE
12,String Bean Chicken Breast,153,5.49,Entree,2024-11-11 00:27:37.550470,ACTIVE
13,Grilled Teriyaki Chicken,110,5.77,Entree,2024-11-13 14:59:55.324681,ACTIVE
14,Honey Sesame Chicken,242,4.75,Entree,2024-11-17 13:55:41.629353,ACTIVE
15,Black Pepper Chicken,74,3.04,Entree,2024-11-25 12:51:27.880780,ACTIVE
16,Blazing Burbon Chicken,74,5.93,Entree,2024-11-22 13:05:48.907103,ACTIVE
17,Chicken Egg Roll,219,2.85,Extras,2024-11-10 04:01:14.452510,ACTIVE
18,Veggie Spring Roll,51,3.82,Extras,2024-11-24 17:26:20.012647,ACTIVE
19,Cream Cheese Rangoon,120,4.49,Extras,2024-11-14 11:50:59.928506,ACTIVE
20,Apple Pie Roll,108,4.13,Extras,2024-11-28 04:06:37.694880,ACTIVE
21,Drink small,131,3.55,Drink,2024-11-17 03:18:39.843911,ACTIVE
22,Drink medium,116,3.75,Drink,2024-11-27 01:03:56.658293,ACTIVE
23,Drink large,83,5.99,Drink,2024-11-30 08:55:16.990392,ACTIVE
24,Drink Bottle,174,5.76,Drink,2024-11-27 07:15:37.703871,ACTIVE
